category,batch_1_mean,batch_3_mean,batch_5_mean,batch_10_mean,batch_15_mean,batch_20_mean,batch_30_mean,batch_45_mean,batch_65_mean,batch_1_std,batch_3_std,batch_5_std,batch_10_std,batch_15_std,batch_20_std,batch_30_std,batch_45_std,batch_65_std,variance_across_batches
Advanced AI,43.15,52.78,81.02,75.83,81.67,80.42,59.17,52.5,74.44,0,0,0,0,0,0,0,0,0,14.86
Advanced Cloud,31.85,49.88,36.17,45.41,52.59,49.75,49.04,41.44,65.19,0,0,0,0,0,0,0,0,0,9.76
Cloud,69.19,66.09,75.96,82.93,69.78,90.48,88.24,76.95,85.72,0,0,0,0,0,0,0,0,0,8.91
File Operations,65.93,78.89,78.03,90.0,88.15,88.83,86.37,88.89,90.0,0,0,0,0,0,0,0,0,0,8.14
Production Patterns,33.5,29.44,40.31,41.67,36.5,44.72,32.9,33.53,55.52,0,0,0,0,0,0,0,0,0,7.97
Advanced Persistence,53.89,65.0,67.22,76.0,75.0,66.94,61.0,59.33,75.0,0,0,0,0,0,0,0,0,0,7.73
Imports,71.25,82.08,84.72,92.33,91.67,90.69,92.5,92.5,92.5,0,0,0,0,0,0,0,0,0,7.3
AI Integration,72.61,74.39,84.57,76.8,82.0,82.89,86.59,86.23,78.11,0,0,0,0,0,0,0,0,0,5.17
Graph Basics,79.22,89.34,79.11,85.74,90.0,80.03,90.84,81.59,82.33,0,0,0,0,0,0,0,0,0,4.81
Integration,57.62,60.32,67.25,61.88,64.87,62.5,64.77,63.48,74.25,0,0,0,0,0,0,0,0,0,4.72
Advanced Functions,90.0,100.0,88.89,98.67,95.0,96.94,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,4.42
Implementation,75.0,65.0,75.0,75.0,75.0,74.44,75.0,75.0,75.0,0,0,0,0,0,0,0,0,0,3.32
Walkers,74.49,83.15,78.84,82.74,79.37,84.09,83.01,77.22,78.06,0,0,0,0,0,0,0,0,0,3.29
Advanced Graph,69.14,67.78,67.41,70.86,64.55,63.63,64.62,64.04,62.05,0,0,0,0,0,0,0,0,0,2.91
Objects,66.44,69.61,66.33,75.0,67.25,67.06,69.6,69.7,70.0,0,0,0,0,0,0,0,0,0,2.71
Collections,94.44,93.78,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,2.6
Functions,85.56,92.59,88.52,91.85,88.89,88.7,88.67,88.89,88.89,0,0,0,0,0,0,0,0,0,2.03
Basic Syntax,89.66,90.33,92.66,92.66,92.66,92.85,92.66,92.66,92.66,0,0,0,0,0,0,0,0,0,1.2
Control Flow,97.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0.93
Type System,100.0,98.89,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0.37
